snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/0111853T,PM,4.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853T,RI,7.0,1.0,0.0,4.0,14.0,14.0,413.0,147.0,0.0,236.0
2026-03-19 13:43:43+01:00,59/0111853T,RM,12.0,7.0,2.0,6.0,58.0,58.0,708.0,957.0,238.0,354.0
2026-03-19 13:43:43+01:00,59/0111853T,SC,5.0,1.0,0.0,3.0,20.0,20.0,295.0,147.0,0.0,177.0
2026-03-19 13:43:43+01:00,59/0111853T,SM,4.0,3.0,1.0,2.0,75.0,75.0,236.0,421.0,131.0,118.0
2026-03-19 13:43:43+01:00,59/0111853T,TV,4.0,4.0,0.0,6.0,100.0,100.0,236.0,543.0,0.0,354.0
2026-03-19 13:43:43+01:00,59/0111853T,VR,7.0,3.0,1.0,2.0,43.0,43.0,413.0,425.0,132.0,118.0
2026-03-19 13:43:43+01:00,59/0111853T,WEB,0.0,2.0,0.0,2.0,45.0,45.0,8850.0,9608.0,2084.0,4661.0
2026-03-19 13:43:43+01:00,59/0137PNE,AR,6.0,10.0,1.0,0.0,167.0,100.0,227.0,927.0,88.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,BO,6.0,10.0,1.0,2.0,167.0,100.0,227.0,956.0,88.0,76.0
2026-03-19 13:43:43+01:00,59/0137PNE,BS,6.0,4.0,0.0,0.0,67.0,67.0,227.0,390.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,CO,6.0,1.0,0.0,0.0,17.0,17.0,227.0,98.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,EU,6.0,5.0,2.0,1.0,83.0,83.0,227.0,458.0,176.0,38.0
2026-03-19 13:43:43+01:00,59/0137PNE,LN,6.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0137PNE,M4,1.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0137PNE,NV,5.0,7.0,0.0,0.0,140.0,100.0,189.0,663.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,OR,5.0,3.0,0.0,0.0,60.0,60.0,189.0,293.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,PM,5.0,3.0,0.0,3.0,60.0,60.0,189.0,293.0,0.0,113.0
2026-03-19 13:43:43+01:00,59/0137PNE,RI,6.0,3.0,0.0,0.0,50.0,50.0,227.0,293.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,RM,6.0,6.0,1.0,2.0,100.0,100.0,227.0,575.0,88.0,76.0
2026-03-19 13:43:43+01:00,59/0137PNE,TV,4.0,1.0,0.0,0.0,25.0,25.0,151.0,98.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,VR,5.0,4.0,0.0,0.0,80.0,80.0,189.0,390.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0137PNE,WEB,0.0,7.0,1.0,0.0,88.0,88.0,2760.0,6106.0,527.0,302.0
2026-03-19 13:43:43+01:00,59/014053PN,AR,8.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,AU,4.0,0.0,0.0,2.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,BO,8.0,1.0,1.0,5.0,13.0,13.0,520.0,108.0,108.0,325.0
2026-03-19 13:43:43+01:00,59/014053PN,BS,8.0,1.0,0.0,5.0,13.0,13.0,520.0,108.0,0.0,325.0
2026-03-19 13:43:43+01:00,59/014053PN,CA,6.0,4.0,1.0,6.0,67.0,67.0,390.0,573.0,108.0,390.0
2026-03-19 13:43:43+01:00,59/014053PN,CO,8.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,EU,8.0,4.0,3.0,6.0,50.0,50.0,520.0,449.0,325.0,390.0
2026-03-19 13:43:43+01:00,59/014053PN,LN,6.0,1.0,0.0,3.0,17.0,17.0,390.0,155.0,0.0,195.0
2026-03-19 13:43:43+01:00,59/014053PN,MC,4.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,ME2,6.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,MI,4.0,0.0,0.0,3.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,NV,8.0,3.0,0.0,7.0,38.0,38.0,520.0,341.0,0.0,455.0
2026-03-19 13:43:43+01:00,59/014053PN,OR,6.0,1.0,0.0,6.0,17.0,17.0,390.0,108.0,0.0,390.0
2026-03-19 13:43:43+01:00,59/014053PN,PD,6.0,1.0,0.0,6.0,17.0,17.0,390.0,155.0,0.0,390.0
2026-03-19 13:43:43+01:00,59/014053PN,PM,6.0,2.0,1.0,4.0,33.0,33.0,390.0,263.0,108.0,260.0
2026-03-19 13:43:43+01:00,59/014053PN,RI,6.0,2.0,1.0,6.0,33.0,33.0,390.0,263.0,108.0,390.0
