Article,Shop,Fascia,IsOutlet,Role,DemandRaw,DemandRule,DemandAI,DemandBlendWeight,DemandHybrid,DemandModelMode,DemandModelQualityR2,Periodo_Qty,Stock_after,ShopCapacityPairs,ShopCapacityTarget,ShopFreeCapacityAfter,ShopCapacitySource,CapacityBlockedMoves,OpsBlockedMoves,ShopInboundBudget,ShopOutboundBudget,ShopInboundUsed,ShopOutboundUsed,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42
59/004RFPTM,BO,2.0,False,STORE,1.5,2.07,2.66703395305487,0.28015300953640493,2.2372608587437384,ridge_oof_blend,0.6225622434142332,1.0,1.0,10725.0,9116.25,6600.25,lista_negozi_linked,0,39757,700.0,551.54,560.0,551.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFPTM,BS,2.0,False,STORE,0.5,0.91655,1.1473541272800216,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,1.0,6600.0,5610.0,3353.0,lista_negozi_linked,0,39757,700.0,481.8,548.0,481.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/004RFPTM,CA,5.0,False,STORE,0.25,0.41200000000000003,0.2920627841589094,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,1.0,5000.0,4250.0,3288.0,lista_negozi_linked,0,39757,700.0,224.84,164.0,224.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFPTM,CO,2.0,False,STORE,1.75,2.53345,2.774741452057841,0.28015300953640493,2.6010485264694134,ridge_oof_blend,0.6225622434142332,1.0,1.0,8662.5,7363.125,5360.125,fascia_median,0,39757,700.0,447.7,415.0,447.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFPTM,EU,1.0,False,STORE,3.5,4.556399999999999,5.190940644956742,0.28015300953640493,4.734168471357802,ridge_oof_blend,0.6225622434142332,3.0,2.0,6080.0,5168.0,1294.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
59/004RFPTM,LN,4.0,False,STORE,0.0,0.26630492424242425,0.30268403769907076,0.28015300953640493,0.2764966423615701,ridge_oof_blend,0.6225622434142332,0.0,1.0,5500.0,4675.0,3206.0,lista_negozi_linked,0,39757,700.0,353.54,215.0,353.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFPTM,ME2,5.0,False,STORE,0.5,0.8240000000000001,0.49963630312372664,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,1.0,5000.0,4250.0,3565.0,fascia_median,0,39757,700.0,154.44,137.0,154.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/004RFPTM,OR,3.0,False,STORE,0.25,0.4433000000000001,0.5484078499622349,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,1.0,6400.0,5440.0,3512.0,lista_negozi_linked,0,39757,700.0,453.42,320.0,453.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFPTM,RM,1.0,False,STORE,4.0,6.6869999999999985,8.213135517733535,0.28015300953640493,7.114551458253449,ridge_oof_blend,0.6225622434142332,3.0,3.0,6080.0,5168.0,1542.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
59/004RFPTM,SM,6.0,True,STORE,0.0,0.306,0.3395304662681466,0.28015300953640493,0.3153936610361802,ridge_oof_blend,0.6225622434142332,0.0,13.0,10000.0,8500.0,8025.0,lista_negozi_linked,0,39757,700.0,138.908,162.0,138.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0
59/004RFPTM,VR,3.0,False,STORE,1.0,1.7633,3.088170770143371,0.28015300953640493,2.13446653350248,ridge_oof_blend,0.6225622434142332,0.0,1.0,5700.0,4845.0,2838.0,lista_negozi_linked,0,39757,700.0,477.18,315.0,477.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFPTM,WEB,,False,ONLINE,3.0,2.6325,2.592619576667248,0.28015300953640493,2.6213273793817438,ridge_oof_blend,0.6225622434142332,3.0,0.0,,,,none,0,39757,81.84,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59/0111853N,AR,1.0,False,STORE,1.75,3.3636,2.652835822118559,0.28015300953640493,3.164477276495846,ridge_oof_blend,0.6225622434142332,0.0,2.0,6080.0,5168.0,2387.0,lista_negozi_linked,0,39757,700.0,586.74,700.0,586.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
59/0111853N,AU,6.0,True,STORE,0.0,0.45899999999999996,0.9991737740977722,0.28015300953640493,0.610331308486129,ridge_oof_blend,0.6225622434142332,0.0,3.0,9000.0,7650.0,6581.0,fascia_median,0,39757,700.0,164.164,700.0,164.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
59/0111853N,BO,2.0,False,STORE,1.0,1.1568999999999998,1.3498572223566567,0.28015300953640493,1.2109575465550027,ridge_oof_blend,0.6225622434142332,1.0,1.0,10725.0,9116.25,6600.25,lista_negozi_linked,0,39757,700.0,551.54,560.0,551.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/0111853N,BS,2.0,False,STORE,0.0,0.7038,2.2095918806684227,0.28015300953640493,1.125652127104742,ridge_oof_blend,0.6225622434142332,0.0,1.0,6600.0,5610.0,3353.0,lista_negozi_linked,0,39757,700.0,481.8,548.0,481.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/0111853N,CA,5.0,False,STORE,0.25,0.41818000000000005,0.029049819531578702,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,3.0,5000.0,4250.0,3288.0,lista_negozi_linked,0,39757,700.0,224.84,164.0,224.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
59/0111853N,CO,2.0,False,STORE,0.5,0.9269,1.229152032267201,0.28015300953640493,1.011576816478151,ridge_oof_blend,0.6225622434142332,0.0,1.0,8662.5,7363.125,5360.125,fascia_median,0,39757,700.0,447.7,415.0,447.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/0111853N,EU,1.0,False,STORE,3.5,4.5672,3.3643142176875713,0.28015300953640493,4.23020792795662,ridge_oof_blend,0.6225622434142332,3.0,2.0,6080.0,5168.0,1294.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59/0111853N,LN,4.0,False,STORE,2.25,3.1879500000000003,1.9883917184207802,0.28015300953640493,2.8518901373012637,ridge_oof_blend,0.6225622434142332,1.0,8.0,5500.0,4675.0,3206.0,lista_negozi_linked,0,39757,700.0,353.54,215.0,353.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0
59/0111853N,M4,,False,WAREHOUSE,0.0,0.0765,0.08918664203667677,0.28015300953640493,0.08005420094748607,ridge_oof_blend,0.6225622434142332,0.0,0.0,,,,none,0,39757,inf,inf,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59/0111853N,MC,6.0,True,STORE,0.0,0.3825,0.9139446516907328,0.28015300953640493,0.5313858185731852,ridge_oof_blend,0.6225622434142332,0.0,2.0,8000.0,6800.0,6181.0,lista_negozi_linked,0,39757,700.0,153.076,275.0,153.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59/0111853N,ME2,5.0,False,STORE,0.25,0.41200000000000003,0.6186725404856057,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,5.0,5000.0,4250.0,3565.0,fascia_median,0,39757,700.0,154.44,137.0,154.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
59/0111853N,MI,6.0,True,STORE,0.25,0.406,0.4187990604854849,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,46.0,6000.0,5100.0,4393.0,lista_negozi_linked,0,39757,700.0,162.00799999999998,343.0,162.0,0.0,0.0,11.0,15.0,16.0,2.0,2.0,0.0
59/0111853N,NV,3.0,False,STORE,4.0,5.06,1.893371816637127,0.28015300953640493,4.1728595843480925,ridge_oof_blend,0.6225622434142332,3.0,8.0,4680.0,3978.0,2325.0,lista_negozi_linked,0,39757,700.0,347.82,419.0,347.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0
59/0111853N,OR,3.0,False,STORE,1.25,2.1917500000000003,1.7252239452679974,0.28015300953640493,2.061051321739684,ridge_oof_blend,0.6225622434142332,0.0,10.0,6400.0,5440.0,3512.0,lista_negozi_linked,0,39757,700.0,453.42,320.0,453.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0
59/0111853N,PD,5.0,False,STORE,0.0,0.47276999999999997,1.5602749266087947,0.28015300953640493,0.7774377780751209,ridge_oof_blend,0.6225622434142332,0.0,5.0,5000.0,4250.0,3166.0,lista_negozi_linked,0,39757,700.0,252.34,189.0,252.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
59/0111853N,PM,4.0,False,STORE,0.0,0.08109000000000001,1.3755319593297828,0.28015300953640493,0.44373181057643934,ridge_oof_blend,0.6225622434142332,0.0,4.0,6162.0,5237.7,3758.7,lista_negozi_linked,0,39757,700.0,382.58,122.0,382.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
59/0111853N,RI,3.0,False,STORE,0.75,1.32,1.5514882843291522,0.28015300953640493,1.384852139527231,ridge_oof_blend,0.6225622434142332,0.0,8.0,6695.0,5690.75,3806.75,lista_negozi_linked,0,39757,700.0,473.0,207.0,473.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0
59/0111853N,RM,1.0,False,STORE,2.75,4.56,2.8109796745040576,0.28015300953640493,4.070006692071969,ridge_oof_blend,0.6225622434142332,1.0,2.0,6080.0,5168.0,1542.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
59/0111853N,SC,6.0,True,STORE,0.0,0.3825,0.9830607203407544,0.28015300953640493,0.5507488932128136,ridge_oof_blend,0.6225622434142332,0.0,3.0,12000.0,10200.0,9506.0,lista_negozi_linked,0,39757,700.0,169.708,312.0,169.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
59/0111853N,SD,7.0,True,STORE,0.0,0.22490999999999997,0.8958368690129648,0.28015300953640493,0.4128721815328194,ridge_oof_blend,0.6225622434142332,0.0,1.0,6000.0,5100.0,4865.0,lista_negozi_linked,0,39757,700.0,89.62799999999999,33.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/0111853N,SM,6.0,True,STORE,0.25,0.4,0.4066752792605813,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,4.0,10000.0,8500.0,8025.0,lista_negozi_linked,0,39757,700.0,138.908,162.0,138.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
59/0111853N,TV,5.0,False,STORE,0.0,0.63036,1.020669932797499,0.28015300953640493,0.7397065023251714,ridge_oof_blend,0.6225622434142332,0.0,4.0,5000.0,4250.0,3454.0,lista_negozi_linked,0,39757,700.0,179.74,158.0,179.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
59/0111853N,VR,3.0,False,STORE,1.75,2.4200000000000004,1.7947263813334882,0.28015300953640493,2.244827713946859,ridge_oof_blend,0.6225622434142332,1.0,10.0,5700.0,4845.0,2838.0,lista_negozi_linked,0,39757,700.0,477.18,315.0,477.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0
59/0111853N,WEB,,False,ONLINE,5.25,4.698,1.9190109277440492,0.28015300953640493,3.9194578479387143,ridge_oof_blend,0.6225622434142332,4.0,1.0,,,,none,0,39757,81.84,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59/0111853T,AR,1.0,False,STORE,4.25,5.9963999999999995,4.336512342313394,0.28015300953640493,5.531377477206764,ridge_oof_blend,0.6225622434142332,3.0,2.0,6080.0,5168.0,2387.0,lista_negozi_linked,0,39757,700.0,586.74,700.0,586.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
59/0111853T,AU,6.0,True,STORE,0.0,0.22949999999999998,1.6165002783038616,0.28015300953640493,0.618072302194658,ridge_oof_blend,0.6225622434142332,0.0,0.0,9000.0,7650.0,6581.0,fascia_median,0,39757,700.0,164.164,700.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59/0111853T,BO,2.0,False,STORE,0.25,0.458275,1.5645166412503482,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,1.0,10725.0,9116.25,6600.25,lista_negozi_linked,0,39757,700.0,551.54,560.0,551.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/0111853T,BS,2.0,False,STORE,2.5,4.657500000000001,6.1360796299348195,0.28015300953640493,5.071728533165464,ridge_oof_blend,0.6225622434142332,1.0,2.0,6600.0,5610.0,3353.0,lista_negozi_linked,0,39757,700.0,481.8,548.0,481.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
59/0111853T,CA,5.0,False,STORE,1.25,1.443545,1.9904659356755836,0.28015300953640493,1.5967665461079812,ridge_oof_blend,0.6225622434142332,1.0,1.0,5000.0,4250.0,3288.0,lista_negozi_linked,0,39757,700.0,224.84,164.0,224.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/0111853T,CO,2.0,False,STORE,0.0,0.27583979668674696,0.5277898850830587,0.28015300953640493,0.34642437220393696,ridge_oof_blend,0.6225622434142332,0.0,1.0,8662.5,7363.125,5360.125,fascia_median,0,39757,700.0,447.7,415.0,447.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/0111853T,EU,1.0,False,STORE,5.0,6.7307999999999995,4.174813705999088,0.28015300953640493,6.014732747401842,ridge_oof_blend,0.6225622434142332,4.0,3.0,6080.0,5168.0,1294.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
59/0111853T,LN,4.0,False,STORE,0.75,1.272,2.04186211969472,0.28015300953640493,1.4876791897605517,ridge_oof_blend,0.6225622434142332,0.0,1.0,5500.0,4675.0,3206.0,lista_negozi_linked,0,39757,700.0,353.54,215.0,353.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/0111853T,MC,6.0,True,STORE,1.0,0.9984999999999999,0.6026828377065336,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,1.0,0.0,8000.0,6800.0,6181.0,lista_negozi_linked,0,39757,700.0,153.076,275.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
