snapshot_at,Article,Description,Shop,Ricevuto,Giacenza,Consegnato,Venduto,Sellout_Percent,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42,Valore_Giac
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,WEB,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,AR,0.0,4.0,6.0,6.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,BO,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,BS,0.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,CO,0.0,6.0,10.0,8.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,EU,0.0,8.0,10.0,5.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,LN,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,M4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,ME2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,NV,0.0,3.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,OR,0.0,2.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,PD,0.0,6.0,11.0,9.0,8.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,PM,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,RI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,RM,0.0,4.0,9.0,8.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,TV,0.0,6.0,7.0,9.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,VR,0.0,5.0,9.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/2098PTM,T10 MASCH BOCCALEONE CUCI NORV,WEB,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,AR,0.0,4.0,6.0,8.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,BO,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,BS,0.0,3.0,6.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,CO,0.0,4.0,6.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,EU,0.0,7.0,6.0,8.0,10.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,LN,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,M4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,ME2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,NV,0.0,2.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,OR,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,PD,0.0,3.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,PM,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,RI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,RM,0.0,6.0,6.0,9.0,11.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,TV,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,VR,0.0,3.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABBO,T10 MASCH BOCCALEONE CUCI,WEB,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,AR,0.0,3.0,6.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,BO,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,BS,0.0,6.0,6.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,CO,0.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,EU,0.0,7.0,6.0,5.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,LN,0.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,M4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,ME2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,NV,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,OR,0.0,3.0,6.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,PD,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,PM,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,RI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,RM,0.0,4.0,6.0,8.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,TV,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/4089ABNE,T10 MASCH BOCCALEONE CUCI,VR,0.0,3.0,6.0,8.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,AR,0.0,5.0,6.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,BO,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,BS,0.0,6.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,EU,0.0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,LN,0.0,5.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,OR,0.0,5.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/5001ABNE,T10 MASCH ACCESS CHARM CUCI,RI,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
