Article,Size,From,To,Reason,Qty
59/0553PTM,38,TV,PD,Top-up to target,1
59/0553PTM,39,TV,PD,Fill required run,1
59/0553PTM,39,TV,PD,Top-up to target,1
59/0553PTM,40,TV,PD,Top-up to target,1
59/0553PTM,35,VR,OR,Top-up to target,1
59/0553PTM,36,VR,OR,Top-up to target,1
59/0553PTM,37,VR,OR,Top-up to target,1
59/0553PTM,38,VR,OR,Top-up to target,1
59/0553PTM,39,VR,OR,Fill required run,1
59/0553PTM,39,VR,OR,Top-up to target,1
59/0553PTM,40,VR,OR,Top-up to target,1
59/0553PTO,38,AR,BO,Fill required run,1
59/0553PTO,37,AR,EU,Top-up to target,1
59/0553PTO,40,AR,EU,Fill required run,1
59/0553PTO,41,AR,EU,Top-up to target,1
59/0553PTO,36,BO,BS,Fill required run,1
59/0553PTO,37,BO,BS,Fill required run,1
59/0553PTO,38,BO,BS,Fill required run,1
59/0553PTO,39,BO,BS,Fill required run,1
59/0553PTO,36,BS,AU,Fallback to outlet (unfillable run),1
59/0553PTO,37,BS,NV,Fill required run,1
59/0553PTO,38,BS,NV,Fill required run,1
59/0553PTO,39,BS,NV,Fill required run,1
59/0553PTO,36,CO,EU,Top-up to target,1
59/0553PTO,38,CO,EU,Top-up to target,1
59/0553PTO,39,CO,EU,Top-up to target,1
59/0553PTO,36,EU,AU,Fallback to outlet (unfillable run),2
59/0553PTO,37,EU,AU,Fallback to outlet (unfillable run),3
59/0553PTO,38,EU,AU,Fallback to outlet (unfillable run),2
59/0553PTO,41,EU,AU,Fallback to outlet (unfillable run),2
59/0553PTO,40,EU,BO,Fill required run,1
59/0553PTO,40,EU,BS,Fill required run,1
59/0553PTO,37,NV,CA,Fill required run,1
59/0553PTO,38,NV,CA,Fill required run,1
59/0553PTO,38,RI,EU,Fill required run,1
59/0553PTO,38,RM,AU,Fallback to outlet (unfillable run),1
59/0553PTO,36,RM,BO,Fill required run,1
59/0553PTO,37,RM,BO,Fill required run,1
59/0553PTO,39,RM,BO,Fill required run,1
59/0553PTO,39,RM,CA,Fill required run,1
59/0553PTO,40,RM,EU,Top-up to target,1
59/0561CCNE,39,EU,LN,Fill required run,1
59/0561CCNE,37,NV,LN,Fill required run,1
59/0561CCNE,38,NV,LN,Fill required run,1
59/0561CCNE,37,PM,NV,Fill required run,1
59/0561CCNE,38,PM,NV,Fill required run,1
59/0561CCNE,39,PM,RM,Fill required run,1
59/0561CCNE,40,PM,RM,Fill required run,1
59/0561CCNE,39,RI,NV,Fill required run,1
59/0561CCTM,36,AR,BO,Fill required run,1
59/0561CCTM,36,BO,OR,Top-up to target,1
59/0561CCTM,38,BO,OR,Top-up to target,1
59/0561CCTM,39,BO,OR,Top-up to target,1
59/0561CCTM,38,BS,AR,Top-up to target,1
59/0561CCTM,38,CO,BO,Top-up to target,1
59/0561CCTM,36,OR,AR,Fill required run,1
59/0561CCTM,38,OR,NV,Top-up to target,1
59/0561CCTM,39,VR,BO,Top-up to target,1
59/0561CCTM,40,VR,BO,Top-up to target,1
59/068CCU,36,AR,BO,Fill required run,1
59/068CCU,37,AR,BO,Top-up to target,1
59/068CCU,40,AR,BO,Fill required run,1
59/068CCU,41,BO,EU,Top-up to target,1
59/068CCU,40,BO,RM,Fill required run,1
59/068CCU,37,BO,VR,Top-up to target,1
59/068CCU,38,BO,VR,Fill required run,1
59/068CCU,38,BO,VR,Top-up to target,1
59/068CCU,39,BO,VR,Fill required run,1
59/068CCU,39,BO,VR,Top-up to target,1
59/068CCU,37,EU,AR,Top-up to target,1
59/068CCU,38,EU,AR,Top-up to target,1
59/068CCU,40,EU,AR,Fill required run,1
59/068CCU,37,EU,BO,Fill required run,1
59/068CCU,38,EU,BO,Top-up to target,1
59/068CCU,39,EU,BO,Top-up to target,1
59/068CCU,36,EU,RM,Fill required run,1
59/068CCU,40,EU,RM,Top-up to target,1
59/068CCU,37,NV,LN,Fill required run,1
59/068CCU,38,NV,LN,Fill required run,1
59/068CCU,35,OR,EU,Top-up to target,1
59/068CCU,40,OR,EU,Top-up to target,1
59/068CCU,37,OR,RM,Top-up to target,1
59/068CCU,38,OR,RM,Top-up to target,1
59/068CCU,39,OR,RM,Top-up to target,1
59/068CCU,37,PM,EU,Top-up to target,1
59/068CCU,38,PM,EU,Top-up to target,1
59/068CCU,40,PM,EU,Fill required run,1
59/068CCU,39,RI,EU,Top-up to target,1
59/068CCU,36,RM,AR,Fill required run,1
59/068CCU,40,RM,BO,Top-up to target,1
59/068CCU,36,RM,EU,Fill required run,1
59/068CCU,39,VR,LN,Fill required run,1
59/068CCU,37,VR,NV,Fill required run,1
59/068CCU,38,VR,NV,Fill required run,1
59/068CTM,36,AR,EU,Fill required run,1
59/068CTM,36,AR,EU,Top-up to target,1
59/068CTM,37,BO,AR,Top-up to target,1
59/068CTM,41,BO,RM,Top-up to target,1
59/068CTM,39,BO,VR,Top-up to target,1
59/068CTM,38,CA,AR,Top-up to target,1
59/068CTM,37,CA,ME2,Fill required run,1
59/068CTM,38,CA,ME2,Fill required run,1
59/068CTM,37,CA,PD,Top-up to target,1
59/068CTM,38,CA,PD,Top-up to target,1
59/068CTM,40,CA,RM,Top-up to target,1
59/068CTM,41,CO,AR,Top-up to target,1
59/068CTM,37,CO,VR,Fill required run,1
59/068CTM,36,EU,VR,Top-up to target,1
59/068CTM,37,EU,VR,Top-up to target,1
59/068CTM,37,ME2,PD,Fill required run,1
59/068CTM,38,ME2,PD,Fill required run,1
59/068CTM,36,PD,RM,Fill required run,1
59/068CTM,37,PD,RM,Fill required run,1
59/068CTM,38,PD,RM,Top-up to target,1
59/068CTM,39,RI,AR,Top-up to target,1
59/068CTM,40,RI,AR,Top-up to target,1
59/068CTM,38,RI,VR,Top-up to target,1
59/068CTM,36,RM,AR,Top-up to target,1
59/068CTM,37,TV,CA,Fill required run,1
59/068CTM,37,TV,CA,Top-up to target,1
59/068CTM,38,TV,CA,Fill required run,1
