Article,Size,Qty,From,To,Reason
59/017PNE,36,1,BO,BS,Top-up to target
59/017PNE,37,1,BO,BS,Top-up to target
59/017PNE,38,1,BO,BS,Top-up to target
59/017PNE,39,1,BO,BS,Top-up to target
59/017PNE,40,1,AR,BS,Top-up to target
59/017PNE,41,1,RM,BS,Top-up to target
59/017PNE,36,1,BS,CO,Fill required run
59/017PNE,40,1,BS,CO,Fill required run
59/017PNE,36,1,BS,CO,Top-up to target
59/017PNE,37,1,BS,CO,Top-up to target
59/017PNE,38,1,BS,CO,Top-up to target
59/017PNE,37,1,BS,NV,Top-up to target
59/017PNE,38,1,BS,NV,Top-up to target
59/017PNE,39,1,BS,NV,Top-up to target
59/017PNE,36,1,CO,NV,Top-up to target
59/017PNE,40,1,BS,NV,Top-up to target
59/017PNE,41,1,BS,NV,Top-up to target
59/017PNE,39,1,NV,RI,Fill required run
59/017PNE,37,1,NV,RI,Top-up to target
59/017PNE,38,1,NV,RI,Top-up to target
59/017PNE,39,1,NV,RI,Top-up to target
59/017PNE,36,1,NV,RI,Top-up to target
59/017PNE,40,1,NV,RI,Top-up to target
59/017PNE,38,1,RI,OR,Fill required run
59/017PNE,37,1,RI,OR,Top-up to target
59/017PNE,38,1,RI,OR,Top-up to target
59/017PNE,39,1,RI,OR,Top-up to target
59/017PNE,36,1,RI,OR,Top-up to target
59/017PNE,40,1,RI,OR,Top-up to target
59/017PNE,37,1,OR,VR,Fill required run
59/017PNE,37,1,OR,VR,Top-up to target
59/017PNE,38,1,OR,VR,Top-up to target
59/017PNE,39,1,OR,VR,Top-up to target
59/017PNE,36,1,OR,VR,Top-up to target
59/017PNE,39,1,VR,LN,Fill required run
59/017PNE,37,1,VR,LN,Top-up to target
59/017PNE,38,1,VR,LN,Top-up to target
59/017PNE,39,1,VR,LN,Top-up to target
59/017PNE,39,1,LN,CA,Fill required run
59/017PNE,37,1,LN,CA,Top-up to target
59/017PNE,38,1,LN,CA,Top-up to target
59/017PNE,39,1,LN,CA,Top-up to target
59/017PNE,36,1,VR,CA,Top-up to target
59/017PNE,40,1,OR,CA,Top-up to target
59/017PNE,37,1,CA,ME2,Fill required run
59/017PNE,38,1,CA,ME2,Fill required run
59/017PNE,39,1,CA,ME2,Fill required run
59/017PNE,37,1,ME2,PD,Fill required run
59/017PNE,38,1,ME2,PD,Fill required run
59/017PNE,39,1,CA,PD,Fill required run
59/017PNE,37,1,PD,TV,Fill required run
59/017PNE,38,1,PD,TV,Fill required run
59/017PNE,37,1,CA,TV,Top-up to target
59/017PNE,37,1,AR,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,AR,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,AR,SC,Fallback to outlet (unfillable run)
59/017PNE,38,1,AR,SC,Fallback to outlet (unfillable run)
59/017PNE,36,1,CA,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,EU,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,EU,SC,Fallback to outlet (unfillable run)
59/017PNE,38,1,EU,SC,Fallback to outlet (unfillable run)
59/017PNE,38,1,EU,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,RM,SC,Fallback to outlet (unfillable run)
59/017PNE,37,1,RM,SC,Fallback to outlet (unfillable run)
